141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery.easing.min.js HTTP/1.1" 200 2009 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery.plugin.min.js HTTP/1.1" 200 1450 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/bootstrap.min.js HTTP/1.1" 200 12023 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/response.min.js HTTP/1.1" 200 4002 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/waypoints.min.js HTTP/1.1" 200 2882 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery.scroll-with-ease.js HTTP/1.1" 200 2815 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery.placeholder.min.js HTTP/1.1" 200 1194 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery.fitvids.js HTTP/1.1" 200 1374 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery.mousewheel-3.0.6.pack.js HTTP/1.1" 200 736 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/parallax.min.js HTTP/1.1" 200 2298 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery.scrollbar.min.js HTTP/1.1" 200 4532 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/isotope.pkgd.min.js HTTP/1.1" 200 13278 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/fonts/ionicons28b5.ttf?v=2.0.0 HTTP/1.0" 200 188743 "http://gkeysystems.com/assets/unicom/css/ionicons.min.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/slick.min.js HTTP/1.1" 200 12567 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery.fancybox-media.js HTTP/1.1" 200 2143 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery.fancybox.pack.js HTTP/1.1" 200 9705 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery.counterup.min.js HTTP/1.1" 200 597 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery.countdown.min.js HTTP/1.1" 200 5021 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/script.js HTTP/1.1" 200 7561 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/gmaps.js HTTP/1.1" 200 14238 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/menuspy.js HTTP/1.1" 200 1975 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/frontend/js/main.js HTTP/1.1" 200 2743 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
